country,continent,datetime,count,type
Armenia,Asia,2020-04-03,500.0,infections
Armenia,Asia,2020-04-03,236.0,infections
Albania,Europe,2020-04-03,304.0,infections
Algeria,Africa,2020-04-03,500.0,infections
Algeria,Africa,2020-04-03,500.0,infections
Algeria,Africa,2020-04-03,171.0,infections
Andorra,Europe,2020-04-03,439.0,infections
Afghanistan,Asia,2020-04-03,281.0,infections
Argentina,South America,2020-04-03,500.0,infections
Argentina,South America,2020-04-03,500.0,infections
Argentina,South America,2020-04-03,265.0,infections
Argentina,South America,2020-04-03,266.0,recovered
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,500.0,infections
Australia,Oceania,2020-04-03,330.0,infections
Australia,Oceania,2020-04-03,500.0,recovered
Australia,Oceania,2020-04-03,149.0,recovered
Bahrain,Asia,2020-04-03,500.0,infections
Bahrain,Asia,2020-04-03,172.0,infections
Bahrain,Asia,2020-04-03,382.0,recovered
Azerbaijan,Asia,2020-04-03,443.0,infections
Belarus,Europe,2020-04-03,351.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
Belgium,Europe,2020-04-03,500.0,infections
